freq,nrg_bal,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,FC_IND_CON_E,PC,BE	7.403 	5.111 	5.445 	14.324 	12.87 	11.517 	12.404 	11.372 	14.863 	16.571 	15.449 	16.329 	15.192 	21.215 	32.346 	35.511 	36.479 	40.634 	49.126 	38.57 	38.45 	38.413 	37.979 	37.284 	39.75 	36.267 	36.547 	34.178 	36.929 	26.438 	26.906 	26.415 	26.424 	25.792 
A,FC_IND_CON_E,PC,BG	22.584 	25.688 	19.288 	23.162 	19.711 	22.628 	17.813 	56.934 	45.237 	32.071 	26.579 	25.885 	23.95 	24.881 	24.311 	20.341 	21.057 	27.564 	41.761 	33.309 	39.937 	40.954 	38.63 	36.877 	30.129 	26.16 	35.137 	38.495 	29.898 	30.553 	27.199 	24.758 	26.277 	24.981 
A,FC_IND_CON_E,PC,CY	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	12.371 	7.835 	4.536 	4.071 	3.298 	3.561 	5.782 	6.51 	7.929 	6.517 	6.31 	5.45 
A,FC_IND_CON_E,PC,CZ	55.58 	39.87 	37.44 	46.846 	8.896 	6.83 	12.032 	12.505 	13.679 	12.323 	8.772 	7.701 	8.703 	12.539 	16.127 	15.709 	21.07 	19.777 	18.061 	21.339 	22.788 	24.457 	22.853 	20.86 	22.745 	21.512 	21.119 	24.496 	27.73 	29.467 	31.638 	27.921 	27.023 	27.714 
A,FC_IND_CON_E,PC,DE	100 	100 	100 	13.365 	12.874 	11.11 	11.518 	9.962 	10.01 	8.444 	9.219 	10.385 	11.097 	: 	: 	: 	: 	: 	: 	: 	39.597 	42.746 	41.636 	40.487 	40.486 	40.487 	40.492 	40.487 	22.9 	16.97 	17.133 	17.294 	17.077 	17.087 
A,FC_IND_CON_E,PC,DK	16.81 	15.516 	15.992 	17.937 	18.207 	15.092 	13.887 	14.367 	14.174 	14.317 	15.932 	14.791 	15.296 	14.917 	15.265 	15.669 	16.616 	17.187 	18.523 	18.565 	19.074 	17.476 	20.138 	19.722 	19.919 	19.926 	19.905 	19.954 	20.048 	19.671 	18.925 	19.392 	19.188 	18.201 
A,FC_IND_CON_E,PC,EA19	18.332 	17.618 	18.918 	16.373 	16.144 	17.28 	16.761 	15.835 	14.224 	14.516 	14.8 	14.896 	14.528 	16.02 	16.84 	18.032 	19.173 	20.708 	22.223 	20.873 	24.659 	25.503 	22.844 	22.775 	21.889 	22.814 	22.748 	23.504 	21.49 	20.418 	19.722 	21.156 	22.121 	20.917 
A,FC_IND_CON_E,PC,EA20	17.916 	17.351 	18.705 	16.225 	15.954 	17.107 	16.544 	15.596 	14.04 	14.296 	14.683 	14.773 	14.422 	15.823 	16.62 	17.682 	18.731 	20.154 	21.572 	20.436 	24.241 	25.11 	22.559 	22.485 	21.644 	22.528 	22.486 	23.245 	21.275 	20.227 	19.527 	20.924 	21.85 	20.633 
A,FC_IND_CON_E,PC,EE	9.67 	10.576 	18.065 	10.533 	35.412 	29.779 	27.963 	32.918 	25.595 	25.05 	29.965 	28.888 	22.266 	17.768 	18.91 	18.829 	18.346 	18.601 	20.398 	17.284 	14.706 	13.043 	14.094 	14.888 	13.883 	14.649 	11.894 	14.108 	11.594 	11.574 	13.533 	14.985 	14.201 	10.02 
A,FC_IND_CON_E,PC,EL	100 	4.836 	6.17 	12.779 	18.429 	9.474 	4.627 	4.355 	3.521 	4.359 	3.864 	4.535 	4.63 	1.606 	0.108 	0.251 	0.291 	0.374 	0.396 	0.057 	0.067 	0.098 	0.155 	0.1 	0.057 	0 	0.134 	25.848 	26.417 	37.943 	44.119 	43.978 	43.108 	38.469 
A,FC_IND_CON_E,PC,ES	57.982 	58.838 	59.668 	55.691 	52.768 	74.48 	71.102 	60.749 	53.892 	50.541 	50.085 	45.791 	51.754 	48.2 	45.828 	48.324 	47.895 	54.809 	58.79 	39.241 	46.874 	44.667 	18.326 	19.085 	16.044 	19.531 	18.067 	19.447 	21.642 	21.591 	16.361 	26.824 	33.045 	28.464 
A,FC_IND_CON_E,PC,EU27_2020	21.971 	19.497 	19.89 	17.687 	16.829 	17.191 	16.57 	16.697 	15.003 	15.764 	15.82 	16.176 	15.951 	17.644 	17.911 	17.847 	18.534 	20.279 	21.182 	21.011 	24.137 	24.413 	22.851 	22.462 	21.655 	22.412 	22.592 	23.348 	21.882 	21.023 	19.934 	21.271 	21.91 	20.309 
A,FC_IND_CON_E,PC,EU28	20.582 	18.609 	19.266 	17.385 	16.532 	17.242 	16.723 	16.678 	15.127 	15.894 	15.943 	16.222 	16.087 	18.024 	18.807 	18.789 	19.392 	21.056 	21.557 	21.471 	24.333 	24.489 	23.001 	22.581 	21.751 	22.106 	22.135 	22.82 	21.51 	20.73 	19.934 	21.271 	21.91 	20.309 
A,FC_IND_CON_E,PC,FI	39.819 	35.936 	33.87 	28.617 	28.719 	35.635 	16.496 	14.721 	20.371 	13.708 	5.726 	6.238 	6.34 	6.267 	6.676 	6.972 	7.509 	8.288 	7.481 	7.263 	8.183 	8.154 	8.622 	8.525 	9.883 	9.698 	10.666 	10.032 	9.037 	10.476 	9.789 	11.732 	10.673 	7.99 
A,FC_IND_CON_E,PC,FR	16.581 	17.07 	15.606 	15.052 	16.124 	14.769 	14.3 	15.657 	9.44 	10.827 	11.296 	9.915 	7.11 	7.991 	8.727 	9.578 	11.342 	13.342 	15.867 	15.304 	16.555 	24.955 	26.181 	25.91 	24.075 	23.048 	22.868 	22.944 	22.765 	23.052 	23.152 	21.832 	22.606 	22.075 
A,FC_IND_CON_E,PC,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.776 	34.696 	13.028 	13.612 	13.415 	10.274 	9.874 	9.886 	14.103 	15.511 	: 
A,FC_IND_CON_E,PC,HR	8.192 	9.041 	9.383 	9.188 	7.801 	8.068 	7.217 	7.006 	6.552 	5.701 	7.638 	7.453 	7.723 	7.158 	7.005 	5.504 	5.276 	4.997 	5.325 	6.933 	7.315 	6.715 	6.947 	6.601 	6.953 	6.552 	6.925 	6.888 	6.493 	6.219 	6.305 	5.677 	6.056 	6.666 
A,FC_IND_CON_E,PC,HU	11.787 	11.547 	12.871 	11.04 	8.555 	31.118 	9.525 	13.088 	11.213 	17.617 	9.976 	9.548 	12.626 	17.626 	13.693 	11.278 	11.237 	14.95 	12.155 	15.377 	19.547 	9.029 	30.49 	15.187 	11.116 	11.874 	11.893 	12.025 	13.417 	15.503 	14.705 	14.875 	13.915 	14.605 
