freq,nrg_bal,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,EI_GDP_CLV10,KGOE_TEUR,AT	: 	: 	: 	: 	: 	125.11 	130.30 	126.64 	124.50 	119.79 	115.84 	120.60 	119.54 	124.40 	122.92 	124.86 	122.00 	115.55 	114.80 	113.05 	118.53 	111.81 	110.79 	112.36 	107.61 	108.82 	108.04 	107.54 	102.53 	103.00 	102.12 	102.95 	93.64 	92.33 	92.23 
A,EI_GDP_CLV10,KGOE_TEUR,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	446.48 	440.88 	467.38 	451.84 	481.82 	452.77 	458.96 	443.36 	421.69 	: 	: 
A,EI_GDP_CLV10,KGOE_TEUR,BE	: 	: 	: 	: 	: 	217.98 	228.20 	222.94 	224.02 	214.36 	211.27 	206.94 	201.75 	209.63 	204.23 	198.23 	193.19 	186.26 	191.44 	179.92 	187.94 	171.20 	162.73 	168.31 	155.78 	154.82 	162.36 	161.97 	159.15 	156.12 	147.44 	154.01 	137.89 	126.88 	127.56 
A,EI_GDP_CLV10,KGOE_TEUR,BG	: 	: 	: 	: 	: 	868.34 	815.53 	853.66 	790.97 	783.53 	764.41 	769.57 	710.00 	692.94 	633.11 	625.82 	603.45 	555.09 	516.74 	471.49 	470.42 	493.10 	468.70 	438.49 	454.10 	459.04 	436.15 	439.38 	427.75 	407.87 	399.72 	403.46 	392.93 	342.29 	329.96 
A,EI_GDP_CLV10,KGOE_TEUR,CY	: 	: 	: 	: 	: 	179.27 	194.68 	186.35 	187.20 	183.60 	187.14 	181.70 	172.83 	181.39 	158.15 	166.55 	164.98 	162.18 	163.42 	161.02 	151.34 	148.92 	144.99 	138.46 	143.08 	141.97 	144.14 	140.09 	135.35 	127.88 	116.44 	108.75 	107.88 	103.59 	89.58 
A,EI_GDP_CLV10,KGOE_TEUR,CZ	: 	: 	: 	: 	: 	387.48 	382.35 	387.92 	377.16 	347.35 	351.28 	350.20 	349.65 	353.48 	346.11 	322.18 	309.01 	292.31 	279.62 	275.88 	285.04 	268.69 	268.44 	269.82 	255.19 	243.36 	235.03 	233.14 	227.64 	216.25 	214.46 	218.47 	208.05 	191.01 	186.16 
A,EI_GDP_CLV10,KGOE_TEUR,DE	: 	169.87 	163.35 	163.68 	158.87 	158.19 	161.74 	157.64 	153.46 	147.09 	143.86 	145.61 	142.79 	143.98 	143.37 	141.51 	140.40 	129.97 	130.40 	129.11 	130.40 	119.21 	119.64 	121.69 	114.02 	112.73 	111.08 	108.54 	104.77 	101.44 	97.85 	97.96 	91.69 	83.65 	82.77 
A,EI_GDP_CLV10,KGOE_TEUR,DK	109.33 	117.75 	111.16 	116.59 	115.44 	111.58 	120.95 	108.95 	105.25 	98.16 	92.24 	93.02 	90.42 	95.06 	89.40 	85.26 	88.72 	86.25 	83.83 	83.25 	86.35 	79.65 	75.76 	75.59 	71.39 	69.73 	69.10 	67.00 	66.09 	63.62 	59.33 	58.52 	56.94 	55.87 	55.75 
A,EI_GDP_CLV10,KGOE_TEUR,EE	: 	: 	: 	: 	: 	734.75 	730.28 	625.69 	554.12 	527.65 	455.78 	453.67 	397.36 	395.91 	403.50 	373.10 	342.58 	372.48 	346.58 	323.47 	416.50 	375.27 	345.35 	376.14 	341.24 	291.67 	346.66 	325.12 	302.94 	247.27 	239.13 	226.40 	241.06 	215.52 	229.56 
A,EI_GDP_CLV10,KGOE_TEUR,EL	: 	: 	: 	: 	: 	173.23 	172.39 	172.12 	176.31 	170.84 	173.55 	169.89 	162.85 	158.04 	152.46 	151.26 	143.60 	139.13 	139.56 	138.93 	138.90 	150.32 	159.76 	145.08 	142.12 	142.51 	139.82 	144.06 	138.45 	135.63 	126.47 	122.96 	118.93 	112.54 	117.00 
A,EI_GDP_CLV10,KGOE_TEUR,ES	: 	: 	: 	: 	: 	146.87 	143.31 	148.23 	149.23 	149.31 	148.15 	146.92 	146.98 	147.64 	149.57 	147.92 	142.66 	139.98 	134.54 	129.14 	128.61 	129.05 	132.23 	124.87 	121.19 	120.45 	117.97 	119.63 	116.93 	111.97 	110.86 	110.28 	106.23 	100.87 	100.01 
A,EI_GDP_CLV10,KGOE_TEUR,EU27_2020	: 	: 	: 	: 	: 	176.95 	179.72 	174.28 	170.35 	163.86 	159.17 	159.84 	158.51 	160.99 	159.26 	156.97 	153.17 	146.86 	145.56 	142.85 	145.41 	138.60 	137.73 	136.23 	129.48 	128.21 	127.01 	126.14 	122.91 	118.78 	115.53 	115.13 	106.16 	101.59 	100.41 
A,EI_GDP_CLV10,KGOE_TEUR,FI	232.45 	249.97 	244.73 	258.13 	263.89 	240.26 	249.43 	243.59 	233.88 	223.93 	211.81 	210.98 	218.59 	225.65 	218.79 	196.75 	206.02 	192.42 	183.35 	185.69 	196.67 	184.98 	180.78 	179.67 	184.24 	175.47 	177.26 	173.90 	174.96 	169.25 	162.96 	166.31 	159.44 	163.86 	159.51 
A,EI_GDP_CLV10,KGOE_TEUR,FR	162.60 	169.57 	164.39 	167.60 	157.54 	160.38 	167.15 	158.31 	157.70 	152.57 	148.03 	149.80 	148.54 	150.73 	149.03 	146.83 	140.95 	136.27 	136.34 	134.87 	136.27 	130.73 	130.61 	130.17 	123.94 	124.51 	121.44 	118.96 	116.59 	113.07 	108.38 	109.46 	96.95 	98.90 	96.86 
A,EI_GDP_CLV10,KGOE_TEUR,HR	: 	: 	: 	: 	: 	253.95 	259.41 	249.41 	247.75 	255.99 	239.11 	241.30 	233.38 	236.59 	227.29 	221.69 	209.80 	207.59 	198.74 	205.34 	206.11 	202.12 	194.39 	190.87 	182.90 	186.47 	181.80 	182.28 	173.31 	170.36 	175.45 	163.17 	148.74 	149.04 	145.42 
A,EI_GDP_CLV10,KGOE_TEUR,HU	: 	: 	: 	: 	: 	371.01 	380.77 	362.70 	344.65 	332.06 	311.96 	306.77 	292.77 	287.59 	274.90 	284.25 	270.52 	263.85 	257.22 	262.31 	267.09 	256.85 	247.43 	234.17 	223.54 	228.14 	225.50 	226.22 	214.60 	204.23 	208.97 	204.11 	184.55 	175.37 	174.84 
A,EI_GDP_CLV10,KGOE_TEUR,IE	: 	: 	: 	: 	: 	135.60 	136.85 	132.09 	128.32 	120.59 	114.81 	114.92 	110.16 	102.54 	98.20 	94.90 	91.01 	89.43 	92.48 	92.98 	90.92 	82.32 	83.63 	77.77 	71.56 	60.76 	63.33 	57.04 	53.26 	50.89 	43.80 	39.03 	37.17 	37.45 	37.04 
A,EI_GDP_CLV10,KGOE_TEUR,IS	: 	: 	: 	: 	: 	382.45 	393.71 	369.04 	370.26 	398.94 	425.69 	393.13 	403.47 	395.41 	365.64 	350.22 	405.45 	439.99 	495.43 	551.17 	539.53 	567.38 	548.69 	545.10 	535.90 	494.73 	449.42 	458.76 	481.75 	456.11 	461.52 	448.27 	: 	: 	: 
A,EI_GDP_CLV10,KGOE_TEUR,IT	: 	: 	: 	: 	: 	115.54 	113.70 	113.23 	114.54 	113.97 	112.01 	110.09 	110.65 	116.03 	115.18 	116.45 	113.55 	111.75 	111.45 	109.77 	111.14 	106.61 	105.75 	103.62 	97.94 	100.83 	98.88 	100.63 	98.51 	97.09 	97.07 	96.78 	88.48 	83.81 	82.56 
A,EI_GDP_CLV10,KGOE_TEUR,LT	: 	: 	: 	: 	: 	613.20 	627.54 	545.61 	531.39 	460.46 	405.87 	435.28 	436.39 	411.49 	391.66 	345.27 	317.42 	308.37 	300.47 	325.58 	261.02 	254.53 	245.55 	222.36 	213.31 	212.98 	214.81 	214.91 	209.15 	198.87 	194.26 	190.10 	166.15 	165.69 	168.50 
A,EI_GDP_CLV10,KGOE_TEUR,LU	: 	: 	: 	: 	: 	138.41 	139.02 	130.25 	119.34 	116.26 	115.37 	118.06 	119.24 	122.46 	130.48 	129.91 	120.56 	109.40 	109.83 	106.90 	109.52 	106.65 	102.42 	96.59 	91.56 	88.60 	84.65 	86.33 	88.39 	86.80 	76.15 	75.78 	69.31 	66.30 	66.50 
A,EI_GDP_CLV10,KGOE_TEUR,LV	: 	: 	: 	: 	: 	517.74 	496.30 	440.66 	399.13 	356.54 	323.57 	340.48 	315.01 	306.79 	289.93 	268.64 	243.64 	225.20 	225.53 	262.23 	277.76 	253.61 	245.94 	237.26 	231.31 	220.49 	218.37 	215.87 	207.82 	211.07 	202.19 	198.16 	181.99 	181.29 	179.47 
A,EI_GDP_CLV10,KGOE_TEUR,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	408.55 	379.83 	381.81 	317.08 	361.27 	351.44 	340.93 	306.19 	294.46 	297.95 	281.13 	281.33 	277.33 	275.91 	299.51 	283.18 	258.51 	: 	: 
A,EI_GDP_CLV10,KGOE_TEUR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	508.87 	506.07 	490.06 	522.34 	494.38 	500.00 	482.48 	473.76 	439.33 	409.65 	405.36 	429.21 	414.90 	373.35 	350.51 	331.74 	327.96 	331.36 	302.13 	321.03 	305.67 	301.45 	302.00 	: 	: 
A,EI_GDP_CLV10,KGOE_TEUR,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	274.42 	304.27 	289.03 	323.96 	338.79 	273.03 	282.77 	286.93 	288.20 	313.72 	347.97 	327.68 	300.28 	269.79 	256.33 	253.61 	262.35 	278.19 	267.81 	266.56 	257.19 	210.88 	228.36 	216.55 	194.32 
A,EI_GDP_CLV10,KGOE_TEUR,NL	: 	: 	: 	: 	: 	190.98 	193.74 	183.18 	176.43 	167.02 	162.92 	164.71 	165.63 	168.87 	169.18 	165.59 	160.56 	154.72 	149.59 	149.98 	155.54 	145.90 	145.73 	142.38 	133.58 	131.54 	130.79 	128.74 	123.26 	118.38 	117.72 	113.30 	99.21 	96.29 	96.97 
A,EI_GDP_CLV10,KGOE_TEUR,NO	110.28 	109.24 	107.53 	111.05 	104.34 	101.54 	94.88 	95.71 	97.29 	99.62 	94.70 	98.69 	89.78 	95.57 	97.34 	97.69 	95.80 	88.00 	96.23 	96.28 	101.58 	87.99 	91.19 	94.56 	85.11 	75.35 	82.00 	84.41 	84.04 	79.17 	78.27 	78.05 	68.17 	: 	: 
A,EI_GDP_CLV10,KGOE_TEUR,PL	: 	: 	: 	: 	: 	520.12 	510.55 	473.68 	422.45 	393.52 	360.12 	358.19 	347.49 	344.45 	328.88 	322.55 	319.83 	298.28 	289.12 	270.16 	282.13 	268.09 	253.99 	254.07 	235.39 	227.99 	232.12 	231.10 	227.32 	209.67 	207.82 	206.92 	187.31 	175.55 	170.12 
A,EI_GDP_CLV10,KGOE_TEUR,PT	: 	: 	: 	: 	: 	154.95 	148.51 	149.63 	153.45 	159.93 	155.72 	152.66 	157.67 	155.62 	158.18 	160.44 	150.75 	146.73 	143.12 	145.11 	138.12 	137.62 	135.40 	137.19 	137.83 	140.97 	138.51 	140.33 	133.22 	129.74 	125.58 	119.60 	117.25 	110.74 	106.95 
