freq,siec,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,C0000X0350-0370,PC,NO	77.441 	69.970 	80.941 	75.544 	79.256 	83.891 	84.933 	77.148 	78.322 	72.821 	57.071 	-13.307 	-84.253 	-139.527 	-109.405 	-53.076 	-126.196 	-192.851 	-175.224 	-202.112 	-50.207 	-26.293 	-6.527 	-86.761 	-30.440 	0.170 	15.951 	88.900 	86.021 	90.445 	92.151 	90.093 	93.272 	: 	: 
A,C0000X0350-0370,PC,PL	-25.515 	-22.009 	-22.878 	-22.204 	-27.791 	-30.160 	-25.061 	-25.989 	-26.595 	-25.634 	-28.977 	-29.268 	-28.418 	-26.188 	-27.598 	-23.767 	-21.464 	-15.272 	-6.523 	-5.166 	-4.964 	-0.999 	-6.437 	-10.173 	-8.565 	-11.436 	-11.704 	-2.963 	8.227 	6.018 	0.334 	-3.613 	7.964 	5.014 	-6.899 
A,C0000X0350-0370,PC,PT	108.465 	93.640 	96.173 	96.526 	96.787 	105.829 	97.907 	104.515 	101.062 	98.643 	102.868 	92.953 	99.944 	99.726 	95.207 	96.301 	105.555 	100.504 	91.148 	106.755 	98.289 	97.244 	103.324 	95.416 	96.886 	98.477 	102.301 	105.604 	98.914 	122.131 	-6.515 	4.538 	107.448 	81.020 	98.639 
A,C0000X0350-0370,PC,RO	36.809 	28.664 	37.442 	21.463 	26.075 	26.589 	25.000 	35.620 	31.823 	24.407 	25.506 	29.796 	31.338 	28.396 	32.971 	33.173 	28.334 	34.231 	26.471 	13.245 	16.862 	13.312 	16.163 	18.246 	16.643 	16.658 	19.478 	18.364 	17.562 	22.038 	22.000 	23.206 	19.956 	12.984 	12.886 
A,C0000X0350-0370,PC,RS	0.000 	0.000 	2.894 	0.000 	0.419 	-0.131 	1.365 	-0.378 	3.693 	1.895 	3.396 	1.930 	1.894 	3.436 	5.336 	8.153 	10.402 	8.382 	9.535 	7.287 	9.364 	9.067 	5.310 	3.472 	7.497 	8.035 	7.890 	8.506 	10.113 	10.466 	6.511 	9.529 	13.827 	: 	: 
A,C0000X0350-0370,PC,SE	94.307 	90.259 	93.979 	91.878 	93.914 	103.227 	87.052 	107.570 	101.979 	100.140 	105.363 	95.767 	91.300 	106.855 	97.717 	105.920 	93.079 	98.299 	104.410 	76.985 	113.726 	103.684 	82.551 	89.742 	101.198 	97.375 	115.743 	101.303 	100.520 	103.209 	98.812 	94.197 	104.724 	96.380 	100.824 
A,C0000X0350-0370,PC,SI	8.965 	7.973 	5.240 	11.359 	10.978 	13.655 	17.360 	14.029 	16.048 	22.652 	18.774 	18.534 	19.596 	20.401 	21.864 	20.998 	20.042 	20.639 	28.745 	17.882 	19.259 	17.532 	21.547 	19.500 	21.564 	19.108 	17.260 	17.357 	18.875 	20.082 	17.745 	10.975 	28.135 	26.970 	4.432 
A,C0000X0350-0370,PC,SK	78.088 	80.493 	81.574 	81.428 	82.577 	76.647 	85.114 	82.251 	73.096 	73.136 	80.195 	77.948 	77.075 	79.641 	83.129 	88.348 	80.839 	95.439 	85.910 	83.068 	75.736 	81.717 	89.659 	80.604 	83.330 	84.537 	83.260 	87.818 	91.865 	92.216 	86.166 	88.106 	96.073 	90.421 	100.361 
A,C0000X0350-0370,PC,TR	24.873 	26.017 	24.750 	26.098 	25.478 	26.610 	32.012 	34.898 	35.425 	32.670 	39.100 	29.835 	41.659 	49.516 	50.100 	51.942 	51.687 	49.432 	43.987 	44.221 	47.113 	47.294 	56.068 	58.551 	57.064 	63.181 	61.733 	61.706 	59.601 	57.745 	63.656 	57.150 	46.979 	: 	: 
A,C0000X0350-0370,PC,UA	-5.306 	1.555 	4.660 	5.804 	4.810 	16.241 	15.771 	10.368 	10.469 	4.420 	5.735 	3.902 	4.915 	10.232 	6.594 	7.062 	11.775 	15.186 	12.574 	3.583 	7.820 	6.679 	11.167 	6.973 	15.487 	31.234 	34.207 	48.477 	49.165 	50.735 	48.243 	: 	: 	: 	: 
