freq,siec,partner,unit,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 
A,O4000XBIO,KZ,PC,PT	8.01 i	8.09 i	8.38 i	7.41 i	2.94 i	0.93 i
A,O4000XBIO,KZ,PC,RO	21.61 i	21.14 i	21.66 i	20.91 i	25.37 i	26.94 i
A,O4000XBIO,KZ,PC,RS	9.21 i	3.68 i	4.46 i	1.23 i	2.35 i	8.78 i
A,O4000XBIO,KZ,PC,SE	0.27 i	0.28 i	0.49 i	0.14 i	0.09 i	0.17 i
A,O4000XBIO,KZ,PC,SI	6.31 i	5.17 i	5.08 i	4.65 i	5.99 i	7.75 i
A,O4000XBIO,KZ,PC,SK	1.49 i	1.44 i	2.39 i	2.34 i	2.30 i	2.07 i
A,O4000XBIO,KZ,PC,TR	3.06 i	2.65 i	2.34 i	3.65 i	6.88 i	7.61 i
A,O4000XBIO,KZ,PC,UA	4.03 i	6.48 i	2.66 i	3.53 i	3.59 i	4.30 i
A,O4000XBIO,KZ,PC,UK	0.16 i	0.23 i	0.23 i	0.19 i	0.20 i	: m
A,O4000XBIO,KZ,PC,XK	6.51 i	6.52 i	5.63 i	4.41 i	4.33 i	5.71 i
A,O4000XBIO,LY,PC,AL	0.00 i	0.00 i	0.00 i	1.84 i	2.13 i	1.73 i
A,O4000XBIO,LY,PC,AT	6.78 i	7.71 i	8.42 i	14.06 i	14.48 i	2.97 i
A,O4000XBIO,LY,PC,BA	0.12 i	0.32 i	2.53 i	2.31 i	5.38 i	1.52 i
A,O4000XBIO,LY,PC,BE	0.28 i	0.27 i	0.65 i	0.72 i	0.46 i	0.34 i
A,O4000XBIO,LY,PC,BG	2.94 i	0.20 i	0.32 i	0.23 i	0.18 i	0.06 i
A,O4000XBIO,LY,PC,CY	1.41 i	0.86 i	2.60 i	4.24 i	2.94 i	1.06 i
A,O4000XBIO,LY,PC,CZ	0.43 i	0.47 i	0.78 i	1.87 i	2.07 i	0.37 i
A,O4000XBIO,LY,PC,DE	2.24 i	1.60 i	5.52 i	5.93 i	6.69 i	1.65 i
A,O4000XBIO,LY,PC,DK	0.16 i	0.28 i	: m	0.80 i	0.99 i	0.62 i
A,O4000XBIO,LY,PC,EE	0.01 i	0.03 i	0.06 i	0.11 i	0.04 i	0.02 i
A,O4000XBIO,LY,PC,EL	2.41 i	1.24 i	4.62 i	5.49 i	4.36 i	0.67 i
A,O4000XBIO,LY,PC,ES	2.26 i	3.70 i	7.10 i	8.91 i	10.43 i	2.92 i
A,O4000XBIO,LY,PC,FI	0.02 i	0.03 i	0.23 i	0.38 i	0.15 i	0.06 i
A,O4000XBIO,LY,PC,FR	2.26 i	1.77 i	4.22 i	5.69 i	3.51 i	1.54 i
A,O4000XBIO,LY,PC,GE	0.47 i	0.15 i	0.24 i	0.35 i	0.36 i	0.09 i
A,O4000XBIO,LY,PC,HR	2.46 i	5.20 i	6.50 i	4.20 i	7.96 i	0.72 i
A,O4000XBIO,LY,PC,HU	1.16 i	0.52 i	0.73 i	1.08 i	1.25 i	0.21 i
A,O4000XBIO,LY,PC,IE	0.11 i	0.49 i	1.26 i	0.76 i	0.48 i	0.07 i
A,O4000XBIO,LY,PC,IS	0.01 i	0.04 i	0.14 i	0.17 i	0.29 i	0.03 i
A,O4000XBIO,LY,PC,IT	5.23 i	4.38 i	6.45 i	8.67 i	10.29 i	5.49 i
A,O4000XBIO,LY,PC,LI	: m	: m	3.99 i	: m	3.76 i	: m
A,O4000XBIO,LY,PC,LT	0.00 i	0.00 i	0.01 i	0.01 i	0.00 i	0.00 i
A,O4000XBIO,LY,PC,LU	0.56 i	0.40 i	1.53 i	1.94 i	1.57 i	0.56 i
A,O4000XBIO,LY,PC,LV	0.00 i	0.01 i	0.01 i	0.02 i	0.01 i	0.00 i
A,O4000XBIO,LY,PC,MD	0.30 i	0.01 i	0.03 i	0.03 i	0.41 i	0.13 i
A,O4000XBIO,LY,PC,ME	1.87 i	1.75 i	4.05 i	3.97 i	3.90 i	0.45 i
A,O4000XBIO,LY,PC,MK	1.65 i	0.85 i	3.06 i	3.59 i	3.02 i	0.43 i
A,O4000XBIO,LY,PC,MT	3.98 i	1.71 i	2.67 i	5.48 i	4.75 i	1.40 i
A,O4000XBIO,LY,PC,NL	0.33 i	0.78 i	1.56 i	1.64 i	0.98 i	0.55 i
A,O4000XBIO,LY,PC,NO	: m	: m	: m	: m	: m	: m
A,O4000XBIO,LY,PC,PL	0.11 i	0.09 i	0.31 i	0.31 i	0.28 i	0.07 i
A,O4000XBIO,LY,PC,PT	0.20 i	0.33 i	0.71 i	0.88 i	1.34 i	0.39 i
A,O4000XBIO,LY,PC,RO	0.13 i	0.07 i	0.14 i	0.19 i	0.67 i	0.20 i
A,O4000XBIO,LY,PC,RS	0.20 i	0.13 i	0.15 i	0.14 i	0.26 i	0.06 i
A,O4000XBIO,LY,PC,SE	0.06 i	0.11 i	1.73 i	3.22 i	1.13 i	0.37 i
A,O4000XBIO,LY,PC,SI	3.65 i	2.92 i	4.08 i	5.41 i	5.74 i	2.30 i
A,O4000XBIO,LY,PC,SK	0.35 i	0.41 i	0.59 i	1.01 i	0.96 i	0.15 i
A,O4000XBIO,LY,PC,TR	0.53 i	0.16 i	0.75 i	1.07 i	2.44 i	2.01 i
A,O4000XBIO,LY,PC,UA	0.13 i	0.03 i	0.14 i	0.21 i	0.26 i	0.66 i
A,O4000XBIO,LY,PC,UK	0.16 i	1.09 i	2.32 i	1.09 i	0.80 i	: m
A,O4000XBIO,LY,PC,XK	2.15 i	1.67 i	2.74 i	2.69 i	2.50 i	0.85 i
A,O4000XBIO,NG,PC,AL	0.00 i	0.00 i	0.00 i	1.48 i	0.77 i	1.11 i
A,O4000XBIO,NG,PC,AT	2.20 i	0.89 i	5.03 i	4.21 i	4.25 i	3.81 i
A,O4000XBIO,NG,PC,BA	0.11 i	0.05 i	0.33 i	0.42 i	1.58 i	1.41 i
A,O4000XBIO,NG,PC,BE	8.47 i	4.45 i	4.28 i	7.43 i	7.42 i	5.81 i
A,O4000XBIO,NG,PC,BG	0.05 i	0.04 i	0.05 i	0.12 i	0.03 i	0.04 i
A,O4000XBIO,NG,PC,CY	1.27 i	1.67 i	1.24 i	3.20 i	2.42 i	2.02 i
A,O4000XBIO,NG,PC,CZ	0.71 i	0.55 i	0.55 i	0.82 i	2.43 i	2.08 i
A,O4000XBIO,NG,PC,DE	6.30 i	3.54 i	4.49 i	5.38 i	5.30 i	5.12 i
A,O4000XBIO,NG,PC,DK	4.37 i	1.62 i	: m	1.01 i	4.16 i	5.41 i
A,O4000XBIO,NG,PC,EE	0.74 i	0.25 i	0.29 i	0.47 i	0.24 i	0.23 i
A,O4000XBIO,NG,PC,EL	0.50 i	0.31 i	0.44 i	0.60 i	0.54 i	0.48 i
A,O4000XBIO,NG,PC,ES	13.16 i	9.78 i	10.99 i	12.06 i	13.28 i	15.25 i
A,O4000XBIO,NG,PC,FI	1.06 i	0.93 i	1.24 i	1.51 i	0.97 i	0.87 i
A,O4000XBIO,NG,PC,FR	7.57 i	6.77 i	5.65 i	7.26 i	7.47 i	5.57 i
A,O4000XBIO,NG,PC,GE	0.11 i	0.06 i	0.03 i	0.17 i	0.13 i	0.14 i
A,O4000XBIO,NG,PC,HR	2.28 i	0.38 i	0.46 i	0.55 i	1.84 i	1.53 i
A,O4000XBIO,NG,PC,HU	0.10 i	0.04 i	0.44 i	0.35 i	0.45 i	0.43 i
A,O4000XBIO,NG,PC,IE	4.08 i	2.66 i	6.11 i	3.48 i	1.55 i	1.37 i
A,O4000XBIO,NG,PC,IS	0.21 i	0.28 i	0.27 i	0.31 i	0.95 i	1.03 i
A,O4000XBIO,NG,PC,IT	2.47 i	2.00 i	2.17 i	2.90 i	4.29 i	4.22 i
A,O4000XBIO,NG,PC,LI	: m	: m	3.26 i	: m	4.95 i	: m
A,O4000XBIO,NG,PC,LT	1.18 i	0.02 i	0.01 i	0.03 i	0.08 i	0.07 i
A,O4000XBIO,NG,PC,LU	6.67 i	3.74 i	3.43 i	5.62 i	5.58 i	4.37 i
A,O4000XBIO,NG,PC,LV	0.44 i	0.04 i	0.01 i	0.04 i	0.03 i	0.04 i
A,O4000XBIO,NG,PC,MD	0.01 i	0.02 i	0.01 i	0.59 i	0.01 i	0.02 i
A,O4000XBIO,NG,PC,ME	0.64 i	0.16 i	0.06 i	0.17 i	0.43 i	0.69 i
A,O4000XBIO,NG,PC,MK	0.08 i	0.11 i	0.04 i	0.05 i	0.14 i	0.12 i
A,O4000XBIO,NG,PC,MT	3.26 i	2.78 i	2.88 i	5.43 i	6.01 i	3.40 i
A,O4000XBIO,NG,PC,NL	5.46 i	2.89 i	3.60 i	4.23 i	5.27 i	4.68 i
A,O4000XBIO,NG,PC,NO	: m	: m	: m	: m	: m	: m
A,O4000XBIO,NG,PC,PL	0.30 i	0.49 i	0.29 i	1.41 i	4.08 i	4.47 i
A,O4000XBIO,NG,PC,PT	2.81 i	1.00 i	1.93 i	1.41 i	5.30 i	15.22 i
A,O4000XBIO,NG,PC,RO	0.11 i	0.08 i	0.10 i	0.93 i	0.16 i	0.18 i
A,O4000XBIO,NG,PC,RS	0.05 i	2.06 i	0.05 i	0.09 i	0.12 i	0.06 i
A,O4000XBIO,NG,PC,SE	7.86 i	6.97 i	10.22 i	13.30 i	7.72 i	6.00 i
A,O4000XBIO,NG,PC,SI	1.76 i	0.94 i	1.66 i	1.50 i	2.12 i	2.29 i
A,O4000XBIO,NG,PC,SK	0.10 i	0.04 i	0.36 i	0.33 i	0.44 i	0.30 i
A,O4000XBIO,NG,PC,TR	1.47 i	0.34 i	0.54 i	1.22 i	3.53 i	5.17 i
A,O4000XBIO,NG,PC,UA	0.10 i	0.02 i	0.03 i	0.07 i	0.12 i	0.22 i
A,O4000XBIO,NG,PC,UK	4.67 i	3.13 i	3.99 i	4.93 i	2.84 i	: m
A,O4000XBIO,NG,PC,XK	0.71 i	0.99 i	0.92 i	1.25 i	0.97 i	1.22 i
A,O4000XBIO,NO,PC,AL	0.00 i	0.00 i	0.00 i	0.37 i	0.50 i	0.76 i
A,O4000XBIO,NO,PC,AT	2.44 i	2.53 i	2.29 i	2.06 i	1.88 i	1.90 i
A,O4000XBIO,NO,PC,BA	0.00 i	0.00 i	0.28 i	0.75 i	0.42 i	0.63 i
A,O4000XBIO,NO,PC,BE	9.51 i	9.18 i	7.97 i	7.94 i	7.19 i	8.38 i
A,O4000XBIO,NO,PC,BG	0.05 i	0.05 i	0.20 i	0.04 i	0.03 i	0.14 i
