freq,siec,partner,unit,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,O4000XBIO,THRD,PC,DE	72.92 	73.74 	74.70 	73.45 	74.80 	75.03 	74.47 	73.50 	71.31 	72.05 	76.03 	74.38 	76.77 	70.47 
A,O4000XBIO,THRD,PC,DK	28.48 	34.01 	34.75 	43.55 	42.89 	50.16 	47.23 	44.60 	47.76 	55.91 	57.31 	52.65 	49.83 	52.12 
A,O4000XBIO,THRD,PC,EE	32.50 	15.96 	48.20 	25.93 	24.47 	28.06 	28.77 	33.06 	41.83 	38.83 	41.54 	39.99 	29.00 	18.25 
A,O4000XBIO,THRD,PC,EL	88.33 	83.46 	89.27 	86.18 	89.62 	90.91 	90.05 	89.73 	90.89 	88.99 	91.94 	91.05 	93.39 	91.71 
A,O4000XBIO,THRD,PC,ES	85.55 	85.55 	86.06 	85.08 	88.31 	90.94 	87.27 	86.45 	87.66 	88.93 	87.72 	85.74 	88.17 	87.19 
A,O4000XBIO,THRD,PC,FI	86.32 	92.64 	90.20 	84.34 	82.45 	81.22 	83.13 	81.13 	82.79 	81.59 	81.60 	77.40 	81.34 	74.36 
A,O4000XBIO,THRD,PC,FR	85.10 	85.18 	82.13 	82.86 	82.39 	82.35 	80.97 	82.25 	82.53 	81.51 	76.32 	75.65 	81.52 	78.86 
A,O4000XBIO,THRD,PC,GE	: 	: 	: 	51.08 	47.12 	54.89 	53.82 	62.17 	62.57 	64.17 	68.96 	65.95 	69.57 	: 
A,O4000XBIO,THRD,PC,HR	64.65 	52.38 	57.17 	61.51 	51.88 	52.40 	55.42 	52.09 	56.36 	42.65 	47.84 	57.88 	56.39 	57.51 
A,O4000XBIO,THRD,PC,HU	73.11 	75.12 	72.57 	73.50 	71.25 	67.88 	64.48 	59.56 	64.08 	61.62 	58.35 	56.61 	60.42 	57.23 
A,O4000XBIO,THRD,PC,IE	90.10 	96.60 	96.48 	88.46 	89.68 	88.90 	85.22 	84.37 	85.20 	86.35 	87.21 	79.81 	89.03 	76.67 
A,O4000XBIO,THRD,PC,IT	91.62 	89.30 	89.33 	86.41 	86.19 	87.92 	87.37 	87.28 	86.64 	88.45 	85.21 	84.52 	89.00 	87.72 
A,O4000XBIO,THRD,PC,LT	94.36 	91.80 	89.33 	90.92 	90.54 	90.15 	91.57 	92.47 	92.69 	93.25 	93.17 	93.20 	89.75 	91.66 
