freq,siec,partner,unit,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 
A,G3000,QA,PC,UA	0.35 i	1.89 i	1.44 i	1.20 i	1.00 i	0.68 i
A,G3000,QA,PC,UK	28.03 i	20.66 i	12.63 i	6.86 i	19.02 i	: m
A,G3000,QA,PC,XK	: m	: m	: m	: m	: m	: m
A,G3000,RU,PC,AL	: m	: m	: m	: m	: m	: m
A,G3000,RU,PC,AT	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,RU,PC,BA	100.00 i	100.00 i	100.00 i	100.00 i	100.00 i	100.00 i
A,G3000,RU,PC,BE	3.69 i	7.93 i	6.81 i	11.45 i	16.42 i	14.45 i
A,G3000,RU,PC,BG	100.00 i	100.00 i	100.00 i	99.92 i	85.73 i	83.77 i
A,G3000,RU,PC,CY	: m	: m	: m	: m	: m	: m
A,G3000,RU,PC,CZ	99.81 i	99.97 i	99.19 i	99.50 i	99.73 i	100.00 i
A,G3000,RU,PC,DE	45.32 i	60.25 i	54.34 i	51.22 i	51.22 i	68.66 i
A,G3000,RU,PC,DK	: m	: m	: m	: m	: m	62.32 i
A,G3000,RU,PC,EE	100.00 i	100.00 i	99.84 i	99.90 i	99.45 i	98.00 i
A,G3000,RU,PC,EL	71.68 i	72.25 i	63.60 i	71.18 i	36.89 i	42.22 i
A,G3000,RU,PC,ES	0.45 i	0.44 i	0.79 i	3.09 i	9.93 i	11.52 i
A,G3000,RU,PC,FI	100.00 i	100.00 i	100.00 i	97.99 i	97.30 i	82.23 i
A,G3000,RU,PC,FR	14.47 i	22.61 i	20.49 i	22.42 i	21.78 i	19.04 i
A,G3000,RU,PC,GE	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i	0.00 i
A,G3000,RU,PC,HR	29.75 i	36.96 i	47.35 i	73.04 i	69.34 i	64.11 i
A,G3000,RU,PC,HU	95.00 i	95.00 i	95.00 i	95.00 i	95.00 i	95.00 i
A,G3000,RU,PC,IE	0.00 i	0.00 i	0.11 i	1.72 i	3.60 i	0.00 i
A,G3000,RU,PC,IS	: m	: m	: m	: m	: m	: m
A,G3000,RU,PC,IT	47.31 i	43.25 i	47.74 i	48.80 i	47.60 i	43.72 i
A,G3000,RU,PC,LI	: m	: m	53.51 i	: m	53.01 i	47.00 i
A,G3000,RU,PC,LT	82.60 i	38.29 i	53.64 i	56.77 i	43.27 i	41.79 i
A,G3000,RU,PC,LU	25.20 i	25.22 i	27.23 i	27.23 i	27.23 i	27.23 i
A,G3000,RU,PC,LV	100.00 i	100.00 i	100.00 i	100.00 i	100.00 i	100.00 i
A,G3000,RU,PC,MD	99.90 i	99.92 i	100.00 i	100.00 i	100.00 i	100.00 i
A,G3000,RU,PC,ME	: m	: m	: m	: m	: m	: m
A,G3000,RU,PC,MK	100.00 i	100.00 i	100.00 i	100.00 i	100.00 i	100.00 i
A,G3000,RU,PC,MT	: m	: m	0.32 i	0.00 i	0.00 i	0.00 i
A,G3000,RU,PC,NL	: m	: m	: m	35.41 i	33.95 i	33.18 i
A,G3000,RU,PC,NO	: m	: m	: m	: m	: m	: m
A,G3000,RU,PC,PL	83.09 i	84.33 i	77.78 i	72.61 i	68.25 i	69.56 i
A,G3000,RU,PC,PT	0.00 i	0.00 i	0.00 i	0.00 i	1.90 i	9.70 i
A,G3000,RU,PC,RO	97.68 i	99.77 i	99.97 i	98.03 i	91.72 i	90.96 i
A,G3000,RU,PC,RS	100.00 i	100.00 i	100.00 i	100.00 i	100.00 i	100.00 i
A,G3000,RU,PC,SE	0.00 i	0.00 i	1.63 i	3.23 i	3.79 i	27.65 i
A,G3000,RU,PC,SI	31.22 i	34.00 i	23.00 i	31.25 i	11.87 i	8.82 i
A,G3000,RU,PC,SK	100.00 i	98.81 i	84.60 i	100.00 i	100.00 i	85.45 i
A,G3000,RU,PC,TR	55.33 i	53.01 i	51.94 i	47.10 i	33.65 i	33.68 i
A,G3000,RU,PC,UA	61.07 i	25.92 i	28.78 i	28.08 i	28.48 i	53.36 i
A,G3000,RU,PC,UK	0.61 i	1.15 i	0.66 i	4.50 i	7.43 i	: m
A,G3000,RU,PC,XK	: m	: m	: m	: m	: m	: m
A,G3000,UK,PC,AL	: m	: m	: m	: m	: m	: m
