freq,unit,siec,nace_r2,geo\TIME_PERIOD	2020 	2021 	2022 	2023 
A,GWH,E7000,G45,HR	: 	: 	60.804 	110.080 
A,GWH,E7000,G45,HU	: 	: 	140.838 	137.805 
A,GWH,E7000,G45,IE	152.505 	169.022 	142.279 	144.472 
A,GWH,E7000,G45,IT	: 	: 	1433.311 	1365.284 
A,GWH,E7000,G45,LT	: 	: 	51.400 	41.900 
A,GWH,E7000,G45,LU	: 	: 	29.765 	30.462 e
A,GWH,E7000,G45,LV	27.652 	29.593 	27.400 	27.787 
A,GWH,E7000,G45,MD	: 	: 	13.060 	14.950 
A,GWH,E7000,G45,ME	9.315 	14.703 	15.192 	16.215 
A,GWH,E7000,G45,MT	: 	9.405 	9.559 	8.915 
A,GWH,E7000,G45,NL	: 	: 	0.000 	0.000 
A,GWH,E7000,G45,NO	: 	: 	850.318 	833.387 
A,GWH,E7000,G45,PL	: 	: 	0.000 	541.807 
A,GWH,E7000,G45,PT	: 	: 	197.138 e	209.189 e
A,GWH,E7000,G45,RO	: 	: 	: 	95.206 
A,GWH,E7000,G45,SE	: 	: 	980.000 e	755.834 e
A,GWH,E7000,G45,SI	: 	: 	69.511 	71.733 
A,GWH,E7000,G45,SK	: 	: 	6.380 	12.380 
A,GWH,E7000,G45,TR	: 	: 	: 	2037.830 
A,GWH,E7000,G46,AL	: 	: 	: 	5.750 
A,GWH,E7000,G46,AT	: 	: 	767.720 	728.292 
A,GWH,E7000,G46,BE	: 	: 	1511.100 	1565.700 
A,GWH,E7000,G46,BG	: 	: 	568.860 	576.215 
A,GWH,E7000,G46,CZ	: 	: 	1314.070 	981.410 
A,GWH,E7000,G46,DE	: 	: 	2739.438 	2644.091 
A,GWH,E7000,G46,DK	557.089 	548.180 	530.674 	505.745 
A,GWH,E7000,G46,EE	: 	: 	88.919 	81.718 
A,GWH,E7000,G46,FR	: 	: 	7738.332 	7281.341 
A,GWH,E7000,G46,HR	: 	: 	222.483 	227.193 
A,GWH,E7000,G46,HU	: 	: 	616.588 	621.653 
A,GWH,E7000,G46,IE	828.899 	807.420 	725.125 	736.304 
A,GWH,E7000,G46,IT	: 	: 	5056.467 	4885.512 
A,GWH,E7000,G46,LT	: 	: 	253.900 	301.200 
A,GWH,E7000,G46,LU	: 	: 	92.452 	96.466 e
A,GWH,E7000,G46,LV	123.410 	124.991 	87.912 	82.205 
A,GWH,E7000,G46,MD	: 	: 	94.700 	94.300 
A,GWH,E7000,G46,ME	92.726 	87.821 	92.182 	99.028 
A,GWH,E7000,G46,MT	: 	42.793 	45.245 	42.925 
A,GWH,E7000,G46,NL	: 	: 	2443.670 	2431.267 
A,GWH,E7000,G46,NO	: 	: 	1006.366 	986.397 
A,GWH,E7000,G46,PL	: 	: 	4547.202 	4784.684 
A,GWH,E7000,G46,PT	: 	: 	877.968 	893.805 
A,GWH,E7000,G46,RO	: 	: 	: 	588.273 
A,GWH,E7000,G46,SE	: 	: 	1658.000 	1572.000 
A,GWH,E7000,G46,SI	: 	: 	152.068 	156.933 
A,GWH,E7000,G46,SK	: 	: 	42.110 	78.970 
A,GWH,E7000,G46,TR	: 	: 	: 	17346.840 
A,GWH,E7000,G47,AL	: 	: 	: 	2.450 
A,GWH,E7000,G47,AT	: 	: 	1304.039 	1237.067 
A,GWH,E7000,G47,BE	: 	: 	2788.100 	2829.900 
A,GWH,E7000,G47,BG	: 	: 	1274.577 	1264.308 
A,GWH,E7000,G47,CZ	: 	: 	1762.540 	1703.060 
A,GWH,E7000,G47,DE	: 	: 	20064.110 	20627.969 
A,GWH,E7000,G47,DK	654.347 	657.438 	637.894 	590.137 
A,GWH,E7000,G47,EE	: 	: 	448.834 	373.976 
A,GWH,E7000,G47,FR	: 	: 	15182.351 	13818.039 
A,GWH,E7000,G47,HR	: 	: 	1407.541 	1437.337 
A,GWH,E7000,G47,HU	: 	: 	1758.097 	1499.435 
A,GWH,E7000,G47,IE	1356.339 	1337.256 	1217.617 	1236.388 
A,GWH,E7000,G47,IT	: 	: 	14874.611 	14027.851 
A,GWH,E7000,G47,LT	: 	: 	589.400 	654.000 
A,GWH,E7000,G47,LU	: 	: 	206.299 	215.257 e
A,GWH,E7000,G47,LV	298.579 	310.741 	301.076 	287.628 
A,GWH,E7000,G47,MD	: 	: 	259.200 	281.300 
A,GWH,E7000,G47,ME	154.610 	150.356 	154.225 	159.246 
A,GWH,E7000,G47,MT	: 	120.165 	125.298 	124.944 
A,GWH,E7000,G47,NL	: 	: 	4899.236 	4794.118 
A,GWH,E7000,G47,NO	: 	: 	2297.564 	2252.445 
A,GWH,E7000,G47,PL	: 	: 	13588.718 	12430.234 
A,GWH,E7000,G47,PT	: 	: 	2640.055 	2649.377 
A,GWH,E7000,G47,RO	: 	: 	: 	2204.729 
A,GWH,E7000,G47,SE	: 	: 	2627.000 	2709.166 e
A,GWH,E7000,G47,SI	: 	: 	498.661 	514.559 
A,GWH,E7000,G47,SK	: 	: 	79.280 	615.680 
A,GWH,E7000,G47,TR	: 	: 	: 	12898.910 
A,GWH,E7000,G471,AL	: 	: 	: 	0.000 
A,GWH,E7000,G471,AT	: 	: 	0.000 	0.000 
A,GWH,E7000,G471,BE	: 	: 	0.000 	0.000 
A,GWH,E7000,G471,BG	: 	: 	0.000 	0.000 
A,GWH,E7000,G471,CZ	: 	: 	0.000 	0.000 
A,GWH,E7000,G471,DE	: 	: 	0.000 	0.000 
A,GWH,E7000,G471,DK	0.000 	0.000 	0.000 	0.000 
A,GWH,E7000,G471,EE	: 	: 	0.000 	0.000 
A,GWH,E7000,G471,FR	: 	: 	0.000 	0.000 
A,GWH,E7000,G471,HR	: 	: 	0.000 	0.000 
A,GWH,E7000,G471,HU	: 	: 	0.000 	0.000 
A,GWH,E7000,G471,IE	0.000 	0.000 	0.000 	0.000 
A,GWH,E7000,G471,IT	: 	: 	0.000 	0.000 
A,GWH,E7000,G471,LT	: 	: 	0.000 	0.000 
A,GWH,E7000,G471,LU	: 	: 	0.000 	0.000 
A,GWH,E7000,G471,LV	0.000 	0.000 	0.000 	0.000 
A,GWH,E7000,G471,MD	: 	: 	0.000 	0.000 
A,GWH,E7000,G471,ME	0.000 	0.000 	0.000 	0.000 
A,GWH,E7000,G471,MT	: 	48.685 	51.271 	51.707 
A,GWH,E7000,G471,NL	: 	: 	0.000 	0.000 
A,GWH,E7000,G471,NO	: 	: 	0.000 	0.000 
A,GWH,E7000,G471,PL	: 	: 	0.000 	0.000 
A,GWH,E7000,G471,PT	: 	: 	1784.227 	1847.385 
A,GWH,E7000,G471,RO	: 	: 	: 	0.000 
A,GWH,E7000,G471,SE	: 	: 	0.000 	0.000 
A,GWH,E7000,G471,SI	: 	: 	0.000 	0.000 
A,GWH,E7000,G471,SK	: 	: 	0.000 	0.000 
A,GWH,E7000,G471,TR	: 	: 	: 	0.000 
A,GWH,E7000,G47_X_G471,AL	: 	: 	: 	0.000 
A,GWH,E7000,G47_X_G471,AT	: 	: 	0.000 	0.000 
A,GWH,E7000,G47_X_G471,BE	: 	: 	0.000 	0.000 
A,GWH,E7000,G47_X_G471,BG	: 	: 	0.000 	0.000 
A,GWH,E7000,G47_X_G471,CZ	: 	: 	0.000 	0.000 
A,GWH,E7000,G47_X_G471,DE	: 	: 	0.000 	0.000 
A,GWH,E7000,G47_X_G471,DK	0.000 	0.000 	0.000 	0.000 
A,GWH,E7000,G47_X_G471,EE	: 	: 	0.000 	0.000 
A,GWH,E7000,G47_X_G471,FR	: 	: 	0.000 	0.000 
A,GWH,E7000,G47_X_G471,HR	: 	: 	0.000 	0.000 
A,GWH,E7000,G47_X_G471,HU	: 	: 	0.000 	0.000 
A,GWH,E7000,G47_X_G471,IE	0.000 	0.000 	0.000 	0.000 
A,GWH,E7000,G47_X_G471,IT	: 	: 	0.000 	0.000 
A,GWH,E7000,G47_X_G471,LT	: 	: 	0.000 	0.000 
A,GWH,E7000,G47_X_G471,LU	: 	: 	0.000 	0.000 
A,GWH,E7000,G47_X_G471,LV	0.000 	0.000 	0.000 	0.000 
A,GWH,E7000,G47_X_G471,MD	: 	: 	0.000 	0.000 
A,GWH,E7000,G47_X_G471,ME	0.000 	0.000 	0.000 	0.000 
A,GWH,E7000,G47_X_G471,MT	: 	71.480 	74.027 	73.237 
A,GWH,E7000,G47_X_G471,NL	: 	: 	0.000 	0.000 
A,GWH,E7000,G47_X_G471,NO	: 	: 	0.000 	0.000 
A,GWH,E7000,G47_X_G471,PL	: 	: 	0.000 	0.000 
A,GWH,E7000,G47_X_G471,PT	: 	: 	855.828 	801.991 
A,GWH,E7000,G47_X_G471,RO	: 	: 	: 	0.000 
A,GWH,E7000,G47_X_G471,SE	: 	: 	0.000 	0.000 
A,GWH,E7000,G47_X_G471,SI	: 	: 	0.000 	0.000 
A,GWH,E7000,G47_X_G471,SK	: 	: 	0.000 	0.000 
A,GWH,E7000,G47_X_G471,TR	: 	: 	: 	0.000 
A,GWH,E7000,H49-H51_NTRA_X_H495,AL	: 	: 	: 	0.000 
A,GWH,E7000,H49-H51_NTRA_X_H495,AT	: 	: 	0.000 	0.000 
A,GWH,E7000,H49-H51_NTRA_X_H495,BE	: 	: 	105.200 	109.300 
A,GWH,E7000,H49-H51_NTRA_X_H495,BG	: 	: 	0.000 	0.000 
A,GWH,E7000,H49-H51_NTRA_X_H495,CZ	: 	: 	0.000 	0.000 
A,GWH,E7000,H49-H51_NTRA_X_H495,DE	: 	: 	0.000 	0.000 
A,GWH,E7000,H49-H51_NTRA_X_H495,DK	0.000 	0.000 	0.000 	0.000 
A,GWH,E7000,H49-H51_NTRA_X_H495,EE	: 	: 	: 	0.000 
A,GWH,E7000,H49-H51_NTRA_X_H495,FR	: 	: 	2651.675 	1097.532 
A,GWH,E7000,H49-H51_NTRA_X_H495,HR	: 	: 	: 	315.030 
A,GWH,E7000,H49-H51_NTRA_X_H495,HU	: 	: 	225.353 	212.605 
A,GWH,E7000,H49-H51_NTRA_X_H495,IE	0.000 	0.000 	0.000 	0.000 
A,GWH,E7000,H49-H51_NTRA_X_H495,IT	: 	: 	: 	258.502 
A,GWH,E7000,H49-H51_NTRA_X_H495,LT	: 	: 	0.000 	0.000 
A,GWH,E7000,H49-H51_NTRA_X_H495,LV	0.000 	0.000 	0.000 	0.000 
A,GWH,E7000,H49-H51_NTRA_X_H495,MD	: 	: 	: 	0.000 
