freq,nrg_bal,siec,unit,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,FC_OTH_HH_E,E7000,TJ,MK	11638.800 	12042.720 	11745.360 	11034.000 	10965.240 	10993.504 	11006.280 	11147.753 	10795.727 	11710.080 	12249.000 	11938.318 	11487.842 	8465.040 
A,FC_OTH_HH_E,E7000,TJ,MT	0.000 	0.000 	0.000 	0.000 	0.000 	2361.600 	2397.398 	2620.516 	2840.699 	3078.644 	3199.399 	3412.166 	3623.317 	3587.119 
A,FC_OTH_HH_E,E7000,TJ,NL	82778.400 	82954.804 	84107.981 	84099.452 	82185.498 	79854.998 	79159.136 	78519.442 	77727.733 	77737.846 	79075.357 	80891.287 	80061.613 	76764.740 
A,FC_OTH_HH_E,E7000,TJ,NO	143032.412 	129803.944 	137688.000 	140047.225 	132736.182 	138851.646 	143435.197 	144477.495 	145456.391 	144027.453 	143582.432 	149679.810 	130851.551 	139842.871 
A,FC_OTH_HH_E,E7000,TJ,PL	0.000 	0.000 	0.000 	0.000 	0.000 	101808.000 	104072.400 	105051.600 	105422.400 	105815.808 	108021.661 	110124.000 	103896.000 	103705.200 
A,FC_OTH_HH_E,E7000,TJ,PT	52279.200 	49507.200 	46432.800 	44330.400 	42894.000 	43106.400 	46702.800 	45324.000 	47566.800 	47603.362 	49161.600 	51400.501 	50054.548 	52493.227 
A,FC_OTH_HH_E,E7000,TJ,RO	0.000 	0.000 	0.000 	0.000 	0.000 	43540.207 	43440.095 	45348.012 	46007.579 	46743.426 	49031.222 	51279.170 	48590.406 	47131.200 
A,FC_OTH_HH_E,E7000,TJ,RS	52722.000 	52794.000 	52261.200 	50925.600 	49687.200 	50623.200 	50151.600 	49734.036 	48292.456 	48024.594 	49385.275 	49955.886 	48165.138 	46829.563 
A,FC_OTH_HH_E,E7000,TJ,SE	0.000 	0.000 	0.000 	0.000 	0.000 	154753.200 	165006.000 	162475.200 	162244.800 	158810.400 	153262.800 	166320.000 	146289.600 	142380.000 
A,FC_OTH_HH_E,E7000,TJ,SI	11588.537 	11560.486 	11444.490 	11623.288 	11251.534 	11534.771 	11730.668 	11967.689 	12108.658 	12283.992 	13047.318 	13632.901 	13235.152 	14683.342 
A,FC_OTH_HH_E,E7000,TJ,SK	0.000 	0.000 	0.000 	0.000 	0.000 	18126.000 	18349.200 	17704.800 	18342.000 	19630.800 	21146.400 	21484.800 	21207.960 	21053.160 
A,FC_OTH_HH_E,E7000,TJ,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	220273.960 	223496.856 
A,FC_OTH_HH_E,E7000,TJ,UA	: 	: 	: 	: 	: 	: 	129301.596 	126148.284 	129405.614 	126849.600 	131594.681 	: 	: 	: 
A,FC_OTH_HH_E,E7000,TJ,UK	427795.031 	401711.105 	412785.450 	408284.899 	389073.960 	387949.853 	388890.155 	379324.444 	378232.366 	373769.514 	: 	: 	: 	: 
A,FC_OTH_HH_E,E7000,TJ,XK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	8247.463 	8479.948 	9100.667 	9999.716 	8852.686 	12199.079 	11266.247 
A,FC_OTH_HH_E,G3000,TJ,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_OTH_HH_E,G3000,TJ,AT	65468.974 	58178.113 	59220.173 	59831.004 	52399.369 	56839.082 	62819.067 	61496.238 	56280.632 	59719.334 	60259.550 	65276.678 	54418.789 	49444.255 
A,FC_OTH_HH_E,G3000,TJ,BA	0.000 	0.000 	0.000 	0.000 	1125.000 	1388.700 	1446.300 	1581.300 	1506.600 	1622.700 	1700.100 	1933.200 	1731.600 	1545.300 
A,FC_OTH_HH_E,G3000,TJ,BE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	139922.370 	136854.180 	136646.190 	135497.430 	130332.960 	152748.000 	121463.640 	119301.390 
A,FC_OTH_HH_E,G3000,TJ,BG	2065.000 	2343.000 	2237.000 	1882.000 	1892.000 	2166.751 	2465.827 	2849.706 	3235.574 	3297.805 	4022.204 	4748.810 	3642.055 	2976.627 
A,FC_OTH_HH_E,G3000,TJ,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,FC_OTH_HH_E,G3000,TJ,CZ	0.000 	0.000 	0.000 	0.000 	0.000 	74918.700 	83471.400 	83923.201 	78663.398 	75169.282 	77706.762 	87152.054 	69585.300 	62219.166 
A,FC_OTH_HH_E,G3000,TJ,DE	1000926.000 	827226.900 	905134.500 	942415.200 	766105.200 	826425.900 	924967.800 	904274.339 	932189.676 	936985.822 	910447.656 	1052063.203 	911182.572 	825082.110 
A,FC_OTH_HH_E,G3000,TJ,DK	0.000 	0.000 	0.000 	0.000 	0.000 	25174.000 	25997.000 	24813.000 	25751.260 	25782.459 	24797.846 	24249.114 	19745.679 	18467.099 
A,FC_OTH_HH_E,G3000,TJ,EA20	2291583.341 	1929893.575 	2090027.608 	2162866.893 	1717252.792 	2640002.647 	2943642.005 	2914210.209 	2889529.937 	2854884.014 	2799409.288 	3104446.835 	2624297.480 	2356833.045 
A,FC_OTH_HH_E,G3000,TJ,EE	2298.599 	2163.600 	2316.600 	2188.800 	2186.100 	2064.600 	2422.799 	2314.801 	2302.506 	2418.192 	2353.500 	2524.499 	2047.271 	2309.409 
A,FC_OTH_HH_E,G3000,TJ,EL	0.000 	0.000 	0.000 	9731.700 	0.000 	14892.300 	13778.190 	15100.309 	13872.060 	16093.043 	18505.287 	20905.124 	19496.220 	15251.154 
A,FC_OTH_HH_E,G3000,TJ,ES	178266.110 	142856.370 	146937.773 	133708.334 	129554.078 	138918.844 	139632.550 	139148.728 	152980.201 	144741.600 	145465.601 	152171.999 	130567.500 	122420.700 
A,FC_OTH_HH_E,G3000,TJ,EU27_2020	2293648.340 	1932236.574 	2092264.609 	2164748.893 	1719144.791 	3079145.303 	3415562.944 	3405071.755 	3371418.565 	3334119.270 	3308103.168 	3686555.487 	3132098.851 	2830449.471 
A,FC_OTH_HH_E,G3000,TJ,FI	0.000 	0.000 	0.000 	0.000 	0.000 	1100.700 	1122.300 	1098.000 	1026.000 	1116.000 	1002.600 	1172.700 	797.400 	369.000 
A,FC_OTH_HH_E,G3000,TJ,FR	580746.600 	531564.233 	588483.122 	607400.316 	453886.749 	488743.172 	528808.971 	513756.246 	487198.256 	477741.821 	466984.625 	489347.876 	393529.630 	364780.121 
A,FC_OTH_HH_E,G3000,TJ,GE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	27923.400 	31164.155 	30259.270 	34778.903 	39562.397 	44994.510 	47165.879 	47334.383 
A,FC_OTH_HH_E,G3000,TJ,HR	25042.480 	22872.394 	21490.944 	20482.814 	18151.967 	18687.309 	19505.400 	20060.070 	19561.208 	19221.736 	20333.496 	21945.000 	20480.989 	20083.653 
A,FC_OTH_HH_E,G3000,TJ,HU	0.000 	0.000 	0.000 	0.000 	0.000 	109579.116 	117792.899 	124419.599 	118510.000 	116933.000 	126720.000 	139394.000 	119814.000 	104340.000 
A,FC_OTH_HH_E,G3000,TJ,IE	0.000 	0.000 	0.000 	0.000 	0.000 	23194.400 	23523.511 	23210.468 	25240.967 	24708.785 	24642.001 	24860.809 	22554.250 	19421.691 
A,FC_OTH_HH_E,G3000,TJ,IT	0.000 	0.000 	0.000 	0.000 	0.000 	711151.200 	715836.600 	722667.264 	690796.485 	675190.385 	667065.957 	728722.738 	626934.757 	539367.152 
A,FC_OTH_HH_E,G3000,TJ,LT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	6437.700 	6898.500 	6733.890 	7299.990 	9206.910 	8270.982 	7610.400 
A,FC_OTH_HH_E,G3000,TJ,LU	9600.726 	9033.895 	8365.456 	8848.352 	8503.684 	9268.077 	9858.985 	11201.917 	10238.072 	10315.947 	10811.620 	10073.272 	8968.542 	8668.931 
A,FC_OTH_HH_E,G3000,TJ,LV	5210.100 	4473.000 	4472.100 	4257.900 	4242.600 	4106.700 	4453.200 	4661.896 	4989.932 	4636.138 	4587.521 	4833.197 	4381.452 	3563.276 
